properties,tensile strength,fracture growth rate,impact strength(room tem),impact strength(low tem),bending strength,flexural module,heat distortion temperature,30deg breakdown,50deg breakdown,70deg breakdown,90deg breakdown,110deg breakdown,5_20,10_20,15_20,20_20,25_20,30_20,35_20,40_20,45_20,50_20,55_20,60_20,65_20,70_20,75_20,80_20,5_50,10_50,15_50,20_50,25_50,30_50,35_50,40_50,45_50,50_50,55_50,60_50,65_50,70_50,75_50,80_50,5_70,10_70,15_70,20_70,25_70,30_70,35_70,40_70,45_70,50_70,55_70,60_70,65_70,70_70,75_70,80_70,5_90,10_90,15_90,20_90,25_90,30_90,35_90,40_90,45_90,50_90,55_90,60_90,65_90,70_90,75_90,80_90,5_110,10_110,15_110,20_110,25_110,30_110,35_110,40_110,45_110,50_110,55_110,60_110,65_110,70_110,75_110,80_110
unit,MPa,%,KJ/M2,KJ/M2,MPa,GPa,¡C,kV/mm,kV/mm,kV/mm,kV/mm,kV/mm,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,,,,,,,,,,,,,,,,
vp-2,36.1,__,4.2,1.1,37.3,1.65,93.1,439,,,386,388,0.38,0.79,1.13,1.28,1.46,1.32,1.86,2.54,2.92,4.03,4.58,6.32,8.7,11.94,17.62,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,80.83,156.88,271.2,480.46,594.2,776.87,1236.98,1407.79,1705.52,2599.15,2952.69,3326.24,4964.1,5601.12,6650.07,117.48,394.23,645.47,1286.67,1975.18,2245.88,3585.3,4593.78,5170.55,7436.02,9290,12173.87,16738.02,21337.33,27137.23,38174.78
vp-5,37.6,62.5,5,1.1,43.1,1.97,94,460,,,391,389,0.62,1.16,1.78,2.25,3.04,3.57,4.07,4.59,5.56,6.57,7.87,9.78,12.26,16.81,22.47,31.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.69,112.76,213.99,441.08,622.74,755.85,1154.79,1459.41,1640.77,2406.01,2926.16,3008.6,4350.04,5494.32,5722.8,8197.08,263.89,920.84,1538.97,2983.52,3866.86,4907.56,7302.86,8155.76,11707.92,14803.53,17377.62,24073.55,30033.38,39746.21,57678.65,78484.13
vk-2,33.6,>300,3.4,1.2,31.4,1.33,80.6,445,,,428,413,0.23,-0.07,0.36,0.17,0.03,0.12,0.47,0.17,0.27,0.42,1.01,1.08,1.38,2.47,3.85,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.2,2395.86,3386.42,4564.18,6705.68,7029.88,7705.92,9974.05,9291.51,9398.22,12499.13,11035.93,11128.56,13952.71,12378.01,12857.54,581.32,2615.16,4577.69,8752.44,12112.46,13866.97,19110.82,20941.87,24157.38,30980.06,32228.04,38292.98,44403.5,47117.92,55941.55,61090.78
vk-5,34.9,__,3,1.3,34.1,1.46,78,469,,,436,388,0.34,0.37,0.02,0.05,-0.1,0.48,0.39,0.68,0.26,0.61,0.24,0.86,0.86,0.7,1.4,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.6,2971.81,5966.62,10394.86,18725.48,19001.97,20614.7,25290.79,23458.12,25003.05,32847.76,31854.94,34115.29,44107.44,41091.33,42870.97,2299.84,27437.1,42226.44,52778.26,53659.52,48989.59,63574.17,61837.66,63913.31,76908.11,70648.99,78909.86,84844.8,78107.09,89836.18,87263.38
sma-2,36.5,__,3.5,1,38.6,1.72,94,479,,,477,419,0.03,0.05,-0.15,0.41,0.12,-0.14,0.05,0.21,0.12,0.39,0.08,0.77,0.56,0.47,0.91,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,14.86,24.81,40.86,69.87,79.7,108.73,153.23,163.42,197.06,288.62,300.1,356.28,512.33,551.11,659.25,19.31,86.74,148.97,297.7,417.24,434.32,620.4,684.9,724.28,1120.38,1214.94,1607.79,2019.74,2155.63,2863.07,3755.37
sma-5,36.1,__,3.8,1.1,36,1.57,88.7,369,,,321,323,0.1,0.27,0.06,0.2,-0.03,-0.23,0.27,0.53,0.25,0.27,0.35,0.45,0.18,0.39,0.3,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,9.16,12.03,20.25,33.73,36.81,51.98,81.99,91.51,137.57,210.21,223.83,346.77,470.03,444.06,627.99,19.33,52.72,67.12,143.04,166.95,182.41,293.55,324.93,414.2,661.89,736.66,1121.77,1449.7,1871.73,2621.94,3220.04
mma-2,35.1,>300,3.9,1.1,36,1.6,88,444/461,,,430,395,0.14,-0.24,0.26,0.37,0.58,0.68,1.33,2.32,3.75,5.67,9.65,14.91,23.6,34.19,53.58,78.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.94,321.56,474.76,769.85,1112.84,1225.08,1661.62,2359.15,2458.39,2985.88,4099.92,4072.46,4974.43,6959.05,6476.61,7675.07,367.71,1148.53,1718.41,2607.34,3632.17,4924.1,6549.25,7319.97,9090.87,12726.57,12687.35,15288.96,17168.81,17712.59,21778.64,22337.88
mma-5,36.2,132.2,4,1.1,37.1,1.68,82.3,545,,,446,467,0.02,0.16,0.07,0.09,0.18,0.4,0.38,0.96,1.13,1.58,2.64,4.62,6.45,9.31,14.38,21.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.21,151.44,218.64,313.31,490.93,514.25,592.99,868.07,1005.15,1154.87,1729.51,1861.36,2032.35,3313.94,3739.27,4183.84,704.08,1538.69,1783.61,2923.77,3462.23,3883.95,5651.96,5879.36,6935.84,9227.2,8896.84,12488.8,14135.77,13384.97,16304.97,16692.42
nvp-2,34.3,>300,4,1.2,31.7,1.34,85,464,,,398,361,-0.04,-0.12,-0.07,0.38,4.79,6.88,11.32,18.96,35.14,61.74,106.82,173.98,271.18,404.92,558.16,752.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.66,572.42,1983.03,5911.34,15776.37,25945.5,39768.41,66718.3,79365.82,87290.95,117509.47,122544.18,112890.85,138888.65,147353.5,137249.8,757.15,4519.21,13190.4,39025.34,66377.12,88361.98,135120.38,154992.03,179879.45,233218.75,234950.73,260062.8,299061.67,293110.52,339202.9,381784
nvp-5,34.9,93.8,5.8,1.1,32.1,1.39,95.5,335,,,324,317,4.95,127.92,601.92,1515.57,2890.01,4882.81,7355.86,10821.46,15193.49,20600.52,27412.36,36113.14,45546.1,56216.88,67661.77,79077.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.21,10333.17,78597.11,216667.57,329575.92,508957.72,726640.57,896412.5,1101940.33,1276744.5,1496194.33,1599633.17,1616708.67,1880636.5,1899378.33,1797547.17,144.27,14591.25,83519.74,122421.72,185302.07,376042.23,748563.88,1242409.33,1860807.33,2492633,3219369.17,4111934.33,4765656.17,5462707.5,6119248,6393717
